date_id,date,day,month,month_name,quarter,year,weekday
20240101,01-01-2024,1,1,January,Q1,2024,Monday
20240102,02-01-2024,2,1,January,Q1,2024,Tuesday
20240103,03-01-2024,3,1,January,Q1,2024,Wednesday
20240104,04-01-2024,4,1,January,Q1,2024,Thursday
20240105,05-01-2024,5,1,January,Q1,2024,Friday
20240106,06-01-2024,6,1,January,Q1,2024,Saturday
20240107,07-01-2024,7,1,January,Q1,2024,Sunday
20240108,08-01-2024,8,1,January,Q1,2024,Monday
20240109,09-01-2024,9,1,January,Q1,2024,Tuesday
20240110,10-01-2024,10,1,January,Q1,2024,Wednesday
20240111,11-01-2024,11,1,January,Q1,2024,Thursday
20240112,12-01-2024,12,1,January,Q1,2024,Friday
20240113,13-01-2024,13,1,January,Q1,2024,Saturday
20240114,14-01-2024,14,1,January,Q1,2024,Sunday
20240115,15-01-2024,15,1,January,Q1,2024,Monday
20240116,16-01-2024,16,1,January,Q1,2024,Tuesday
20240117,17-01-2024,17,1,January,Q1,2024,Wednesday
20240118,18-01-2024,18,1,January,Q1,2024,Thursday
20240119,19-01-2024,19,1,January,Q1,2024,Friday
20240120,20-01-2024,20,1,January,Q1,2024,Saturday
20240121,21-01-2024,21,1,January,Q1,2024,Sunday
20240122,22-01-2024,22,1,January,Q1,2024,Monday
20240123,23-01-2024,23,1,January,Q1,2024,Tuesday
20240124,24-01-2024,24,1,January,Q1,2024,Wednesday
20240125,25-01-2024,25,1,January,Q1,2024,Thursday
20240126,26-01-2024,26,1,January,Q1,2024,Friday
20240127,27-01-2024,27,1,January,Q1,2024,Saturday
20240128,28-01-2024,28,1,January,Q1,2024,Sunday
20240129,29-01-2024,29,1,January,Q1,2024,Monday
20240130,30-01-2024,30,1,January,Q1,2024,Tuesday
20240131,31-01-2024,31,1,January,Q1,2024,Wednesday
20240201,01-02-2024,1,2,February,Q1,2024,Thursday
20240202,02-02-2024,2,2,February,Q1,2024,Friday
20240203,03-02-2024,3,2,February,Q1,2024,Saturday
20240204,04-02-2024,4,2,February,Q1,2024,Sunday
20240205,05-02-2024,5,2,February,Q1,2024,Monday
20240206,06-02-2024,6,2,February,Q1,2024,Tuesday
20240207,07-02-2024,7,2,February,Q1,2024,Wednesday
20240208,08-02-2024,8,2,February,Q1,2024,Thursday
20240209,09-02-2024,9,2,February,Q1,2024,Friday
20240210,10-02-2024,10,2,February,Q1,2024,Saturday
20240211,11-02-2024,11,2,February,Q1,2024,Sunday
20240212,12-02-2024,12,2,February,Q1,2024,Monday
20240213,13-02-2024,13,2,February,Q1,2024,Tuesday
20240214,14-02-2024,14,2,February,Q1,2024,Wednesday
20240215,15-02-2024,15,2,February,Q1,2024,Thursday
20240216,16-02-2024,16,2,February,Q1,2024,Friday
20240217,17-02-2024,17,2,February,Q1,2024,Saturday
20240218,18-02-2024,18,2,February,Q1,2024,Sunday
20240219,19-02-2024,19,2,February,Q1,2024,Monday
20240220,20-02-2024,20,2,February,Q1,2024,Tuesday
20240221,21-02-2024,21,2,February,Q1,2024,Wednesday
20240222,22-02-2024,22,2,February,Q1,2024,Thursday
20240223,23-02-2024,23,2,February,Q1,2024,Friday
20240224,24-02-2024,24,2,February,Q1,2024,Saturday
20240225,25-02-2024,25,2,February,Q1,2024,Sunday
20240226,26-02-2024,26,2,February,Q1,2024,Monday
20240227,27-02-2024,27,2,February,Q1,2024,Tuesday
20240228,28-02-2024,28,2,February,Q1,2024,Wednesday
20240229,29-02-2024,29,2,February,Q1,2024,Thursday
20240301,01-03-2024,1,3,March,Q1,2024,Friday
20240302,02-03-2024,2,3,March,Q1,2024,Saturday
20240303,03-03-2024,3,3,March,Q1,2024,Sunday
20240304,04-03-2024,4,3,March,Q1,2024,Monday
20240305,05-03-2024,5,3,March,Q1,2024,Tuesday
20240306,06-03-2024,6,3,March,Q1,2024,Wednesday
20240307,07-03-2024,7,3,March,Q1,2024,Thursday
20240308,08-03-2024,8,3,March,Q1,2024,Friday
20240309,09-03-2024,9,3,March,Q1,2024,Saturday
20240310,10-03-2024,10,3,March,Q1,2024,Sunday
20240311,11-03-2024,11,3,March,Q1,2024,Monday
20240312,12-03-2024,12,3,March,Q1,2024,Tuesday
20240313,13-03-2024,13,3,March,Q1,2024,Wednesday
20240314,14-03-2024,14,3,March,Q1,2024,Thursday
20240315,15-03-2024,15,3,March,Q1,2024,Friday
20240316,16-03-2024,16,3,March,Q1,2024,Saturday
20240317,17-03-2024,17,3,March,Q1,2024,Sunday
20240318,18-03-2024,18,3,March,Q1,2024,Monday
20240319,19-03-2024,19,3,March,Q1,2024,Tuesday
20240320,20-03-2024,20,3,March,Q1,2024,Wednesday
20240321,21-03-2024,21,3,March,Q1,2024,Thursday
20240322,22-03-2024,22,3,March,Q1,2024,Friday
20240323,23-03-2024,23,3,March,Q1,2024,Saturday
20240324,24-03-2024,24,3,March,Q1,2024,Sunday
20240325,25-03-2024,25,3,March,Q1,2024,Monday
20240326,26-03-2024,26,3,March,Q1,2024,Tuesday
20240327,27-03-2024,27,3,March,Q1,2024,Wednesday
20240328,28-03-2024,28,3,March,Q1,2024,Thursday
20240329,29-03-2024,29,3,March,Q1,2024,Friday
20240330,30-03-2024,30,3,March,Q1,2024,Saturday
